a,b,theta,R3,R4,cx,cz,cy,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
7.3,5.9,25.5,-0.1,2.1,2.1,18,0.4,0,0,0,0,0,0,0,0,0,0,0,1,InProgress,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.1_cy=0.4_cz=18.0.log
7.3,5.9,25.5,-0.1,2.1,-0.1,18.6,1.4,0,0,0,0,0,0,0,0,0,0,0,2,InProgress,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.1_cy=1.4_cz=18.6.log
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
7.3,5.9,25.5,0,0,-1.9,17.8,0,-4.611501964,-1.560855824,-1.560855824,-0.154963594,-0.246065496,-0.246128247,-0.154963594,-1.122238884,-1.122238884,-0.202553953,-0.202553953,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-1.9_cy=0.0_cz=17.8.log
7.3,5.9,25.5,0,0,0,18.3,-2,-3.178601704,-0.772998194,-0.772998194,-0.698004473,-0.064112697,-0.698004473,-0.064112697,-0.643091073,-0.178652097,-0.178652097,-0.643091073,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=0.0_cy=-2.0_cz=18.3.log
7.3,5.9,25.5,0,0,-2,17.7,-0.1,-4.475868815,-1.707592762,-1.614476553,-0.174667408,-0.240857163,-0.266842352,-0.148130011,-0.959870672,-1.038378448,-0.196837337,-0.204499234,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=-0.1_cz=17.7.log
7.3,5.9,25.5,0,0,-0.1,18.2,-2.1,-3.105622291,-0.70879137,-0.272653095,-0.765016266,-0.065624996,-0.79980542,-0.062631773,-0.746115665,-0.185441755,-0.175520822,-0.661282588,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-2.1_cz=18.2.log
7.3,5.9,25.5,0,0,-0.1,18.3,-2.1,-3.165129065,-0.886815957,-0.5851468,-0.71285136,-0.06243097,-0.737638005,-0.059519324,-0.689451512,-0.17507529,-0.166101897,-0.612299158,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-2.1_cz=18.3.log
7.3,5.9,25.5,0,0,-2,17.8,-0.1,-4.616613033,-1.799108821,-1.748908021,-0.160768062,-0.229499232,-0.253940747,-0.136935232,-1.018480106,-1.048305656,-0.188974636,-0.196272578,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=-0.1_cz=17.8.log
